# Copyright (C) 2024  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition
# File: C:\Users\ufabc\Desktop\ED_prjs\intercepte\intercepte_pinos.csv
# Generated on: Fri Aug 23 11:25:02 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ChvCode[7],Input,PIN_Y23,5,B5_N2,2.5 V,,,,,
ChvCode[6],Input,PIN_Y24,5,B5_N2,2.5 V,,,,,
ChvCode[5],Input,PIN_AA22,5,B5_N2,2.5 V,,,,,
ChvCode[4],Input,PIN_AA23,5,B5_N2,2.5 V,,,,,
ChvCode[3],Input,PIN_AA24,5,B5_N2,2.5 V,,,,,
ChvCode[2],Input,PIN_AB23,5,B5_N2,2.5 V,,,,,
ChvCode[1],Input,PIN_AB24,5,B5_N2,2.5 V,,,,,
ChvCode[0],Input,PIN_AC24,5,B5_N2,2.5 V,,,,,
DcrD[6],Output,PIN_AA14,3,B3_N0,2.5 V,,,,,
DcrD[5],Output,PIN_AG18,4,B4_N2,2.5 V,,,,,
DcrD[4],Output,PIN_AF17,4,B4_N2,2.5 V,,,,,
DcrD[3],Output,PIN_AH17,4,B4_N2,2.5 V,,,,,
DcrD[2],Output,PIN_AG17,4,B4_N2,2.5 V,,,,,
DcrD[1],Output,PIN_AE17,4,B4_N2,2.5 V,,,,,
DcrD[0],Output,PIN_AD17,4,B4_N2,2.5 V,,,,,
DcrU[6],Output,PIN_AC17,4,B4_N2,2.5 V,,,,,
DcrU[5],Output,PIN_AA15,4,B4_N2,2.5 V,,,,,
